language	unit	held_occurrences	modal_category	category_consensus_fraction	modal_output	exact_mapping_consensus_fraction	all_categories	all_outputs
old_italian	y	554	W	1.0	rispuose	0.5	W,W,W,W,W,W	quando,maestro,rispuose,dicendo,rispuose,rispuose
old_italian	qo	233	S	1.0	vol	0.5	S,S,S,S,S,S	vol,vi,vol,col,vol,gra
old_italian	Col	188	S	1.0	tra	0.5	S,S,S,S,S,S	ser,tra,con,si,tra,tra
old_italian	okaN	92	L	1.0	d	0.5	L,L,L,L,L,L	o,d,d,a,i,d
old_italian	Ty	74	L	1.0	e	0.5	L,L,L,L,L,L	e,l,a,e,e,i
old_italian	P	66	L	1.0	i	0.5	L,L,L,L,L,L	o,n,i,l,i,i
old_italian	g	38	L	1.0	o	0.5	L,L,L,L,L,L	o,a,i,o,o,i
old_italian	Ey	370	L	0.8333333333333334	a	0.5	S,L,L,L,L,L	lor,a,e,a,a,o
old_italian	edy	253	L	0.8333333333333334	o	0.5	S,L,L,L,L,L	chi,e,o,i,o,o
old_italian	Sey	148	L	0.8333333333333334	e	0.5	L,S,L,L,L,L	e,de,e,e,o,a
old_italian	N	88	L	0.8333333333333334	i	0.5	L,N,L,L,L,L	i,,i,o,i,a
old_italian	n	37	L	0.8333333333333334	o	0.5	L,L,L,L,L,S	a,n,o,o,o,tu
old_italian	j	3	L	0.8333333333333334	n	0.5	L,L,L,L,L,D	o,n,o,n,n,ee
old_italian	Cy	212	L	0.6666666666666666	e	0.5	S,L,L,S,L,L	gia,e,e,cio,a,e
old_italian	q	71	L	0.6666666666666666	s	0.5	S,N,L,L,L,L	men,,s,n,s,s
old_italian	u	3	L	0.6666666666666666	d	0.5	L,D,L,L,D,L	t,ee,d,d,ss,d
old_italian	daN	387	L	0.5	e	0.5	L,S,L,L,S,S	e,si,e,e,le,di
old_italian	a	128	L	0.5		0.5	L,L,L,N,N,N	l,i,l,,,
old_italian	qokEdy	105	L	0.5	l	0.5	L,L,S,D,L,S	l,l,me,ii,l,un
old_italian	CE	98	L	0.5		0.5	L,N,L,L,N,N	s,,l,l,,
old_italian	qokedy	62	L	0.5	s	0.5	L,S,D,L,S,L	s,pie,xx,s,qua,s
old_italian	qol	45	L	0.5	l	0.5	L,S,S,S,L,L	l,man,qui,qui,l,l
old_italian	ar	766	W	1.0	inferno	0.3333333333333333	W,W,W,W,W,W	inferno,inferno,sovra,che,quello,quanto
old_italian	o	609	W	1.0	rispuose	0.3333333333333333	W,W,W,W,W,W	rispuose,convien,maestro,rispuose,comincio,quando
old_italian	aN	556	S	1.0	del	0.3333333333333333	S,S,S,S,S,S	tra,era,che,del,si,del
old_italian	k	478	W	1.0	quanto	0.3333333333333333	W,W,W,W,W,W	dicendo,quanto,quelli,inferno,quanto,inferno
old_italian	x	11	L	1.0	n	0.3333333333333333	L,L,L,L,L,L	d,i,o,n,s,n
old_italian	I	9	L	1.0	d	0.3333333333333333	L,L,L,L,L,L	t,d,d,s,m,m
old_italian	ot	689	S	0.8333333333333334	ver	0.3333333333333333	N,S,S,S,S,S	,per,par,ver,men,ver
old_italian	ok	625	S	0.8333333333333334	ver	0.3333333333333333	S,S,N,S,S,S	ver,ver,,per,per,chi
old_italian	dar	227	S	0.8333333333333334	giu	0.3333333333333333	S,S,L,S,S,S	ne,lor,e,giu,giu,tor
old_italian	Sedy	173	S	0.8333333333333334	gia	0.3333333333333333	S,S,S,S,L,S	del,ti,gia,ne,e,gia
old_italian	qokEy	134	L	0.8333333333333334	l	0.3333333333333333	L,S,L,L,L,L	d,suo,l,l,s,i
old_italian	op	110	L	0.8333333333333334	n	0.3333333333333333	L,L,L,N,L,L	n,s,s,,n,l
old_italian	K	98	L	0.8333333333333334	l	0.3333333333333333	L,L,L,L,L,S	o,l,l,s,i,men
old_italian	c	1	L	0.8333333333333334	m	0.3333333333333333	L,L,D,L,L,L	s,n,ee,m,d,m
old_italian	S	439	W	0.6666666666666666	presso	0.3333333333333333	S,W,W,S,W,W	par,presso,volse,di,questi,presso
old_italian	aI	414	L	0.6666666666666666	non	0.3333333333333333	S,L,S,L,L,L	non,e,non,i,a,a
old_italian	t	359	S	0.6666666666666666	cor	0.3333333333333333	S,W,W,S,S,S	cor,questi,alcuna,cor,con,per
