book	query_record	truth_dimension	truth_target_record	truth_set_jaccard	representation	candidate_pool	model_rank	reciprocal_rank	top1	top10	top_decile	normalized_rank	model_set_jaccard
Band2	NB_B2_R000014	CONTENT	NB_B2_R000015	0.587301587302	PAGE_HOST_CHAR3	464	1	1	1	1	1	0.00215517241379	0.535307517084
Band2	NB_B2_R000014	CONTENT	NB_B2_R000015	0.587301587302	COMPILER_SIGNATURE	464	1	1	1	1	1	0.00215517241379	0.645161290323
Band2	NB_B2_R000014	CONTENT	NB_B2_R000015	0.587301587302	MARKER_AND_POSITION	464	125	0.008	0	0	0	0.269396551724	0.75
Band2	NB_B2_R000014	CONTENT	NB_B2_R000015	0.587301587302	HOST_PLUS_COMPILER	464	1	1	1	1	1	0.00215517241379	0.402173913043
Band2	NB_B2_R000014	ADDRESSEE	NB_B2_R000015	0.833333333333	RAW_GROUP_IDENTITY	464	1	1	1	1	1	0.00215517241379	0.402173913043
Band2	NB_B2_R000014	ADDRESSEE	NB_B2_R000015	0.833333333333	RAW_CHAR3	464	1	1	1	1	1	0.00215517241379	0.5442043222
Band2	NB_B2_R000014	ADDRESSEE	NB_B2_R000015	0.833333333333	PAGE_HOST_IDENTITY	464	1	1	1	1	1	0.00215517241379	0.44966442953
Band2	NB_B2_R000014	ADDRESSEE	NB_B2_R000015	0.833333333333	PAGE_HOST_CHAR3	464	1	1	1	1	1	0.00215517241379	0.535307517084
Band2	NB_B2_R000014	ADDRESSEE	NB_B2_R000015	0.833333333333	COMPILER_SIGNATURE	464	1	1	1	1	1	0.00215517241379	0.645161290323
Band2	NB_B2_R000014	ADDRESSEE	NB_B2_R000015	0.833333333333	MARKER_AND_POSITION	464	125	0.008	0	0	0	0.269396551724	0.75
Band2	NB_B2_R000014	ADDRESSEE	NB_B2_R000015	0.833333333333	HOST_PLUS_COMPILER	464	1	1	1	1	1	0.00215517241379	0.402173913043
Band2	NB_B2_R000015	CONTENT	NB_B2_R000014	0.587301587302	RAW_GROUP_IDENTITY	463	1	1	1	1	1	0.00215982721382	0.402173913043
Band2	NB_B2_R000015	CONTENT	NB_B2_R000014	0.587301587302	RAW_CHAR3	463	1	1	1	1	1	0.00215982721382	0.5442043222
Band2	NB_B2_R000015	CONTENT	NB_B2_R000014	0.587301587302	PAGE_HOST_IDENTITY	463	1	1	1	1	1	0.00215982721382	0.44966442953
